Categoria,Funcionalidade,Nosso sistema,OfficeRnD,Nexudus,Archie,Optix,Spacebring,Cobot,Coworks,Proximity,Habu,Yardi Kube,Evidencia,Conclusao
Escritorio virtual,Digitalizacao/encaminhamento,Ausente,Sim,Sim,Nao confirmado,1,Sim,Ausente,Ausente,Ausente,Ausente,Ausente,Workeaser: NAO_CONFIRMADO,Inferior
Escritorio virtual,Notificacoes de entrega,Parcial,Sim,Sim,Nao confirmado,Nao confirmado,Sim,Ausente,Ausente,Ausente,Ausente,Ausente,Workeaser: CODIGO notifications,Inferior
Contratos,Modelos/geracao,Parcial (0),Sim,Sim,Sim,4,Sim,Sim,Sim,Nao confirmado,Nao confirmado,Sim (templates),Workeaser: BANCO contracts=0,Inferior
Contratos,Assinatura eletronica,Parcial (BoldSign QUEBRADA),Sim (Dropbox Sign),Sim,Sim,4,Sim (Dropbox Sign),Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Sim (ySign),Workeaser: RUNTIME Invalid URL,Inferior
Contratos,Renovacao,Parcial (task morta),Sim,Sim,Sim,4,Sim,Sim,Sim,Nao confirmado,Nao confirmado,Sim (auto-renewal),Workeaser: RUNTIME scheduler inativo,Inferior
Faturamento,Faturas recorrentes,Parcial (task morta),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: RUNTIME scheduler inativo,Inferior
Faturamento,Cartao,Sim (Stripe teste),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CONFIG sk_test,Inferior (teste)
Faturamento,ACH/direct debit,Ausente,Sim (Placepay),Sim (GoCardless),Sim,Nao confirmado,Sim (ACH/SEPA),Sim (Fidelity ACH),Sim (Stripe ACH),Sim (1% ACH),Nao confirmado,Sim,Workeaser: NAO_CONFIRMADO,Inferior
Faturamento,Inadimplencia/suspensao,Parcial (task morta),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Nao confirmado,Sim,Workeaser: RUNTIME,Inferior
Faturamento,Multiplos gateways,Ausente (só Stripe),Sim,Sim (100+),Sim,Nao confirmado,Sim,Sim (100+),Sim,Nao confirmado,Nao confirmado,Sim,Workeaser: CONFIG,Inferior
Contabilidade,QuickBooks Online,Ausente (import pontual),Sim,Sim,Sim,Sim,Nao confirmado,Sim,Sim,Sim,Sim,Nao confirmado,Nao confirmado,Workeaser: BANCO import pontual,Inferior
Contabilidade,Xero,Ausente,Sim,Sim,Sim,3,Sim,Sim,Sim,Nao confirmado,Nao confirmado,Nao confirmado,Workeaser: NAO_CONFIRMADO,Inferior
Contabilidade,Reconciliacao bancaria,Parcial (Plaid task morta),Sim,Sim,Sim,4,Sim,Sim,Sim,Sim,Nao confirmado,Sim,Workeaser: RUNTIME,Inferior
Controle acesso,Fechaduras (Kisi/Brivo/Salto),Ausente,Sim,Sim,Sim,4,Sim,Sim,Sim,Sim,Nao confirmado,Sim,Workeaser: NAO_CONFIRMADO,Inferior
Controle acesso,QR/app/bluetooth,Ausente,Sim,Sim,Sim,4,Sim,Sim,Sim,Sim,Nao confirmado,Sim,Workeaser: NAO_CONFIRMADO,Inferior
Visitantes,Gestao de visitantes,Ausente,Sim (Visitor Hub),Sim,Nao confirmado,5,Sim,Sim,Sim (Wave),Sim,Nao confirmado,Sim,Workeaser: NAO_CONFIRMADO,Inferior
Comunicacao,Email,Parcial (SES task morta),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: RUNTIME,Inferior
Comunicacao,WhatsApp,Sim (Meta Cloud),Nao confirmado,Nao confirmado,Nao confirmado,2,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Workeaser: CODIGO,Superior (diferencial)
Comunicacao,Mensagens internas,Parcial (0 dados),Sim,Sim,Sim,5,Sim,Sim,Sim,Nao confirmado,Nao confirmado,Sim,Workeaser: BANCO chats=0,Inferior
Comunidade,Eventos,Parcial (0),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO events=0,Inferior
Comunidade,Marketplace,Parcial (página mínima),Sim,Sim,Sim,5,Sim,Sim,Sim,Nao confirmado,Sim (e-commerce),Sim,Workeaser: CODIGO página vazia,Inferior
Relatorios,Receita/ocupacao,Parcial (0 dados),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO 0 dados,Inferior
Relatorios,Churn/retencao,Parcial (cohorts),Sim,Sim (AI churn),Sim,4,Sim,Sim,Sim,Sim,Nao confirmado,Sim,Workeaser: CODIGO cohorts,Inferior
Multi-unidades,Gestao centralizada,Sim (10 locations),Sim,Sim,Sim,5,Sim,Sim,Sim (multi-campus),Sim (multispace),Sim (switch workspace),Sim,Workeaser: BANCO,Equivalente
Multi-unidades,Permissoes por unidade,Parcial (módulos globais),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Nao confirmado,Sim,Workeaser: CODIGO,Inferior
Permissoes,Perfis/funcoes,Sim (3 roles),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CODIGO,Equivalente
Permissoes,Auditoria,Sim (logs),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Nao confirmado,Sim,Workeaser: BANCO logs=150,Equivalente
Integracoes,API publica,Ausente,Sim (v2+webhooks),Sim (REST+webhooks),Sim (add-on),5,Sim (REST+OpenAPI+MCP),Sim (v2+webhooks),Nao confirmado,Nao confirmado,Nao confirmado,Sim (API+webhooks),Workeaser: NAO_CONFIRMADO,Inferior (crítico)
Integracoes,Webhooks,Sim (6 internos),Sim,Sim,Sim,5,Sim,Sim,Nao confirmado,Nao confirmado,Nao confirmado,Sim,Workeaser: CODIGO webhooks,Equivalente
Integracoes,Zapier/Make,Ausente,Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Nao confirmado,Sim,Workeaser: NAO_CONFIRMADO,Inferior
Integracoes,Stripe,Sim (teste),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim (Connect),Sim,Nao confirmado,Workeaser: CONFIG,Equivalente (código)
IA,Assistente/chatbot,Ausente,Sim (AI Hub),Sim (Alex),Nao confirmado,5,Sim (Lem AI),Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Workeaser: NAO_CONFIRMADO,Inferior
IA,Previsao ocupacao/churn,Ausente,Sim,Sim (AI insights),Nao confirmado,4,Sim (Lem),Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Workeaser: NAO_CONFIRMADO,Inferior
App,App iOS/Android,Ausente,Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: NAO_CONFIRMADO,Inferior
App,White label,Ausente,Sim (add-on),Sim (+$150),Sim,5,Sim,Sim,Sim (add-on),Sim (2 semanas),Nao confirmado,Sim,Workeaser: NAO_CONFIRMADO,Inferior
App,Multi-idioma,Parcial (PT/EN),Sim,Sim,Sim,4,Sim,Sim,Sim,Nao confirmado,Nao confirmado,Sim,Workeaser: CODIGO parcial,Inferior
